a (initial radius),b (Spiral growth rate),thc (Spiral shape thickness),th_0 (Spiral's start angle),th_f (Spiral's end angle),th_m (Metal thickness),r (Substrate radius),hs (Substrate height),er (Substrate dielectric constant),f (freq) GHz,gain,s11,VSWR
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.5,3.201206,-1.70641,10.21305
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.501251,3.190456,-1.71642,10.1543
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.502501,3.179839,-1.71851,10.14156
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.503752,3.169353,-1.71346,10.17107
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.505003,3.158997,-1.70204,10.2391
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.506253,3.148772,-1.68548,10.33919
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.507504,3.138676,-1.66681,10.45411
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.508754,3.12871,-1.64935,10.56416
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.510005,3.118871,-1.6359,10.65048
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.511256,3.10916,-1.62872,10.69705
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.512506,3.099577,-1.62852,10.69843
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.513757,3.09012,-1.63522,10.65487
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.515008,3.080789,-1.64703,10.5789
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.516258,3.071584,-1.66161,10.48674
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.517509,3.062503,-1.676,10.39719
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.518759,3.053547,-1.68729,10.32799
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.52001,3.044714,-1.69352,10.29026
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.521261,3.036004,-1.69338,10.29104
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.522511,3.027417,-1.68736,10.32762
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.523762,3.018951,-1.67669,10.39298
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.525013,3.010607,-1.66389,10.47237
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.526263,3.002384,-1.65173,10.54906
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.527514,2.99428,-1.64282,10.60586
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.528764,2.986297,-1.63939,10.62783
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.530015,2.978432,-1.64231,10.60913
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.531266,2.970685,-1.65173,10.54897
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.532516,2.963056,-1.66626,10.45759
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.533767,2.955544,-1.68392,10.34866
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.535018,2.948149,-1.7021,10.23875
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.536268,2.94087,-1.71815,10.14369
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.537519,2.933706,-1.73016,10.07371
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.538769,2.926657,-1.7368,10.03544
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.54002,2.919722,-1.73828,10.02698
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.541271,2.912901,-1.73555,10.0427
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.542521,2.906193,-1.73072,10.07052
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.543772,2.899597,-1.72618,10.09686
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.545023,2.893113,-1.72421,10.10828
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.546273,2.88674,-1.72675,10.09342
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.547524,2.880478,-1.7345,10.04868
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.548774,2.874326,-1.74748,9.974574
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.550025,2.868284,-1.76427,9.880284
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.551276,2.86235,-1.78296,9.7775
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.552526,2.856525,-1.8011,9.679611
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.553777,2.850807,-1.81634,9.598967
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.555028,2.845197,-1.82717,9.542518
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.556278,2.839693,-1.83271,9.513852
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.557529,2.834295,-1.83371,9.508711
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.558779,2.829002,-1.83159,9.51966
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.56003,2.823814,-1.82876,9.534251
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.561281,2.81873,-1.82772,9.539644
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.562531,2.81375,-1.83038,9.525902
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.563782,2.808873,-1.83801,9.486607
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.565033,2.804098,-1.84995,9.42589
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.566283,2.799425,-1.86452,9.352865
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.567534,2.794853,-1.87802,9.286039
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.568784,2.790382,-1.88612,9.246471
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.570035,2.78601,-1.88404,9.256628
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.571286,2.781739,-1.86744,9.337877
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.572536,2.777566,-1.83417,9.506341
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.573787,2.773491,-1.78354,9.77396
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.575038,2.769514,-1.71849,10.14174
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.576288,2.765634,-1.64348,10.60233
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.577539,2.761851,-1.56544,11.12711
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.578789,2.758163,-1.49181,11.67497
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.58004,2.754571,-1.4298,12.17715
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.581291,2.751073,-1.38587,12.56091
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.582541,2.74767,-1.36402,12.7618
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.583792,2.74436,-1.36673,12.73489
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.585043,2.741143,-1.39284,12.49902
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.586293,2.738019,-1.43938,12.09786
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.587544,2.734986,-1.49967,11.61254
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.588794,2.732044,-1.56554,11.12792
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.590045,2.729193,-1.62648,10.71173
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.591296,2.726432,-1.67176,10.42273
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.592546,2.723761,-1.6917,10.30127
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.593797,2.721178,-1.67824,10.38282
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.595048,2.718683,-1.62822,10.70023
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.596298,2.716276,-1.54114,11.29545
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.597549,2.713956,-1.42191,12.245
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.598799,2.711723,-1.27731,13.63792
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.60005,2.709575,-1.11637,15.58016
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.601301,2.707513,-0.94833,18.27426
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.602551,2.705536,-0.78145,22.25206
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.603802,2.703642,-0.62318,28.08823
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.605053,2.701832,-0.47891,36.2507
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.606303,2.700105,-0.35308,48.33715
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.607554,2.69846,-0.2485,70.0134
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.608804,2.696897,-0.16741,106.2007
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.610055,2.695415,-0.11116,156.0482
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.611306,2.694014,-0.08083,209.1299
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.612556,2.692692,-0.07709,225.8922
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.613807,2.69145,-0.10042,180.1599
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.615058,2.690287,-0.15084,114.8265
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.616308,2.689202,-0.22799,73.89363
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.617559,2.688195,-0.33052,52.65172
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.618809,2.687264,-0.45639,38.5778
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.62006,2.68641,-0.6019,28.85296
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.621311,2.685632,-0.76245,22.64052
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.622561,2.684929,-0.93149,18.67383
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.623812,2.684301,-1.10175,15.82342
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.625063,2.683747,-1.26502,13.75514
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.626313,2.683266,-1.41329,12.30573
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.627564,2.682858,-1.54011,11.30954
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.628814,2.682522,-1.64056,10.62153
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.630065,2.682258,-1.71378,10.16933
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.631316,2.682066,-1.76095,9.897397
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.632566,2.681943,-1.7872,9.754444
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.633817,2.681891,-1.79881,9.692143
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.635068,2.681908,-1.80307,9.669106
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.636318,2.681994,-1.80693,9.648503
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.637569,2.682148,-1.81539,9.603961
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.638819,2.682369,-1.83209,9.516962
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.64007,2.682657,-1.85746,9.388089
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.641321,2.683012,-1.89049,9.225504
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.642571,2.683433,-1.92755,9.049301
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.643822,2.683919,-1.96432,8.8815
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.645073,2.684469,-1.99587,8.742105
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.646323,2.685084,-2.01775,8.648022
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.647574,2.685762,-2.02745,8.607159
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.648824,2.686502,-2.02375,8.622611
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.650075,2.687305,-2.00849,8.687681
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.651326,2.68817,-1.98464,8.791294
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.652576,2.689096,-1.95693,8.914587
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.653827,2.690082,-1.93024,9.036928
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.655078,2.691128,-1.90885,9.137211
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.656328,2.692233,-1.89622,9.197474
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.657579,2.693398,-1.89354,9.210546
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.658829,2.69462,-1.90081,9.175561
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.66008,2.6959,-1.91564,9.10514
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.661331,2.697236,-1.9348,9.015834
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.662581,2.698629,-1.95396,8.927987
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.663832,2.700078,-1.96888,8.860905
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.665083,2.701582,-1.9763,8.827916
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.666333,2.703141,-1.97396,8.838217
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.667584,2.704753,-1.96206,8.891486
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.668834,2.706419,-1.94197,8.982725
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.670085,2.708138,-1.91715,9.09801
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.671336,2.709909,-1.89151,9.220495
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.672586,2.711732,-1.86916,9.329744
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.673837,2.713606,-1.85372,9.406755
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.675088,2.71553,-1.84725,9.439569
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.676338,2.717504,-1.85074,9.4218
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.677589,2.719527,-1.86297,9.360503
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.678839,2.721599,-1.88181,9.267635
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.68009,2.723719,-1.90361,9.162221
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.681341,2.725887,-1.9245,9.063614
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.682591,2.728101,-1.94089,8.987632
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.683842,2.730362,-1.94983,8.946668
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.685093,2.732668,-1.95035,8.944387
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.686343,2.73502,-1.94257,8.97991
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.687594,2.737416,-1.92882,9.043414
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.688844,2.739856,-1.91215,9.121708
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.690095,2.74234,-1.89644,9.196568
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.691346,2.744866,-1.8854,9.249985
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.692596,2.747434,-1.88174,9.267836
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.693847,2.750044,-1.88734,9.240427
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.695098,2.752695,-1.90205,9.169678
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.696348,2.755387,-1.92473,9.062544
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.697599,2.758118,-1.9525,8.934647
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.698849,2.760889,-1.98197,8.803011
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.7001,2.763698,-2.00942,8.683687
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.701351,2.766545,-2.03146,8.59027
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.702601,2.76943,-2.04615,8.529216
